 
 ********** RST CALC OUTPUT FOR DATA FILE - MICROSTN.DAT *********
 
 THERE ARE  8  POPULATIONS AND  24  LOCI, NMAX= 20 
 
 LOCUS VARIANCES IN EACH POPULATION:
 
    POP       LOCUS          VARIANCE     MEAN ALELLE  SAMPLE SIZE
 
                 OBS RHO     95% CI       MEAN    VARIANCE  STD     :      OBS Nm             95% CI             MEAN      VARIANCE       STD     
                            L       U     RHO              ERROR                          L           U          Nm                      ERROR    
RHO (VAR COMP):  0.39841  0.3788  0.4541  0.4186  0.00000  0.0014   :      0.37749      0.2911      0.4038      0.3483      0.00000      0.0021 
RHO (LOCI)    :  0.39457  0.3786  0.4436  0.4121  0.00000  0.0013   :      0.38360      0.3075      0.4061      0.3577      0.00000      0.0019 
 
NUMBER OF BOOTSTRAPS : 100 
 
 
 
 
      *************** PAIRWISE POPULATION COMPARISIONS *****************
 
 RHO ESTIMATES FOR PAIRWISE POPULATION COMPARISONS:
 
    POPS      LOCUS           MEAN   TOTAL     MEAN     SA      SW      RHO
                             ALLELE  SAMPLE   SAMPLE                       
 POS x SON    1_317           0.025   80      40.000   0.290   0.445  0.39428
 POS x SON    1_64            0.171   80      40.000   0.356   1.136  0.23866
 POS x SON    1_316          -0.263   80      40.000   0.306   1.547  0.16500
 POS x SON    1_58            0.391   80      40.000   0.015   0.574  0.02595
 POS x SON    1_295          -0.193   76      37.895   2.482   0.331  0.88232
 POS x SON    3_60            0.271   80      40.000   1.542   0.826  0.65122
 POS x SON    3_117           0.389   80      40.000   1.575   0.896  0.63749
 POS x SON    3_149          -0.216   80      40.000   0.078   0.458  0.14471
 POS x SON    3_221           0.138   80      40.000   0.003   0.049  0.05128
 POS x SON    3_269          -0.038   80      40.000   1.048   0.487  0.68278
 POS x SON    3_265           0.210   80      40.000   0.559   0.128  0.81394
 POS x SON    4_149           0.024   80      40.000   0.316   0.637  0.33150
 POS x SON    4_315          -0.135   80      40.000   1.314   0.491  0.72819
 POS x SON    4_103          -0.455   80      40.000   0.002   0.006  0.20513
 POS x SON    4_104          -0.042   80      40.000   0.521   0.777  0.40142
 POS x SON    4_264           0.079   80      40.000   0.169   0.335  0.33609
 POS x SON    4_235          -0.219   80      40.000   0.218   0.415  0.34467
 POS x SON    4_181          -0.143   80      40.000   0.198   0.642  0.23547
 POS x SON    4_227          -0.184   76      37.895   0.933   0.386  0.70714
 POS x SON    6_86           -0.739   80      40.000   1.711   0.964  0.63950
 POS x SON    6_166           0.569   80      40.000   0.028   0.403  0.06589
 POS x SON    6_138           0.440   80      40.000   0.088   0.183  0.32364
 POS x SON    6_296           0.081   80      40.000   0.188   1.099  0.14587
 POS x SON    6_157          -0.305   80      40.000   0.571   0.186  0.75449
 
                 RHO (AVERGING VAR  COMP)=  0.51986
                 RHO (AVERGING OVER LOCI)=  0.41278
       ----------------------------<>-----------------------------
 
 POS x CRE    1_317          -0.091   80      40.000   0.109   1.537  0.06619
 POS x CRE    1_64           -0.376   80      40.000   0.021   0.117  0.15018
 POS x CRE    1_316           0.173   80      40.000  -0.001   0.060 -0.01042
 POS x CRE    1_58            0.200   80      40.000   0.187   0.374  0.33314
 POS x CRE    1_295           0.672   80      40.000   0.062   0.475  0.11628
 POS x CRE    3_60           -0.408   80      40.000   0.074   0.419  0.14972
 POS x CRE    3_117          -0.489   80      40.000   0.000   0.003  0.10256
 POS x CRE    3_149           0.244   80      40.000   0.107   0.689  0.13434
 POS x CRE    3_221           0.329   80      40.000   0.041   0.078  0.34657
 POS x CRE    3_269           0.625   80      40.000   0.004   0.178  0.02196
 POS x CRE    3_265           0.277   80      40.000   0.423   0.222  0.65576
 POS x CRE    4_149          -0.177   80      40.000   0.080   0.201  0.28555
 POS x CRE    4_315           0.565   80      40.000   0.024   0.102  0.18822
 POS x CRE    4_103          -0.381   80      40.000  -0.003   0.275 -0.01115
 POS x CRE    4_104          -0.553   80      40.000  -0.000   0.006 -0.00000
 POS x CRE    4_264           0.469   80      40.000   0.016   0.032  0.33333
 POS x CRE    4_235          -0.416   80      40.000   0.033   0.238  0.12298
 POS x CRE    4_181          -0.197   80      40.000   0.146   0.129  0.53030
 POS x CRE    4_227           0.358   80      40.000   0.008   0.608  0.01350
 POS x CRE    6_86            0.153   80      40.000   0.002   0.043  0.04587
 POS x CRE    6_166           0.682   80      40.000  -0.007   0.319 -0.02137
 POS x CRE    6_138           0.155   80      40.000   0.494   0.206  0.70586
 POS x CRE    6_296          -0.387   80      40.000   0.030   0.367  0.07568
 POS x CRE    6_157           0.000   80      40.000   1.408   0.336  0.80753
 
                 RHO (AVERGING VAR  COMP)=  0.31734
                 RHO (AVERGING OVER LOCI)=  0.21427
       ----------------------------<>-----------------------------
 
 POS x GAL    1_317          -0.259   78      38.974   0.019   0.129  0.12902
 POS x GAL    1_64           -0.387   78      38.974   0.027   0.111  0.19738
 POS x GAL    1_316           0.147   78      38.974  -0.006   0.250 -0.02672
 POS x GAL    1_58            0.492   78      38.974  -0.012   0.514 -0.02436
 POS x GAL    1_295           0.697   78      38.974   0.054   0.194  0.21864
 POS x GAL    3_60           -0.613   80      40.000   0.000   0.000  0.96892
 POS x GAL    3_117          -0.540   80      40.000   0.002   0.024  0.07692
 POS x GAL    3_149           0.313   80      40.000   0.199   0.141  0.58522
 POS x GAL    3_221           0.207   80      40.000   0.001   0.016  0.04558
 POS x GAL    3_269           0.703   80      40.000  -0.005   0.222 -0.02404
 POS x GAL    3_265           0.385   80      40.000   0.244   0.329  0.42583
 POS x GAL    4_149           0.219   80      40.000   0.720   0.219  0.76693
 POS x GAL    4_315           0.524   80      40.000   0.042   0.247  0.14577
